base,onboard,cohort,days,r1,e1,r3,e3,r5,e5,r10,e10,r20,e20,r30,e30
ETHFI,2024-03-18,2024,893,-0.03203074951953877,0.05200560874235893,0.22357463164638047,0.25799749437923014,0.3549007046764896,0.35185649071979475,1.2475976937860347,1.2288136989404517,0.8334401024983986,0.8267479502116595,0.13228699551569512,0.17165812387764912
ENA,2024-04-02,2024,878,0.4689119170984455,0.4617888293482941,0.3160621761658031,0.32575995642245403,0.5414507772020725,0.5347586249153333,0.6528497409326426,0.694520868335552,0.3562176165803108,0.3274805146925417,0.032383419689119286,0.019879046331272354
W,2024-04-03,2024,877,-0.17723453017570667,-0.21540229554247647,-0.19098548510313218,-0.20684820380710434,-0.24293353705118403,-0.2763189156480379,-0.585485103132162,-0.5378700984551165,-0.5472116119174942,-0.5413459076436317,-0.43628724216959514,-0.500941940010091
TNSR,2024-04-08,2024,872,0.0996376811594204,0.13436362370278065,-0.15217391304347827,-0.1433173065951331,-0.44565217391304346,-0.39803716923599797,-0.4842995169082125,-0.5200601549021557,-0.45772946859903374,-0.45248357212941015,-0.5309782608695652,-0.5127090301003345
SAGA,2024-04-09,2024,871,-0.06648782123586261,-0.088057630440465,-0.37487424930646585,-0.3332031219035564,-0.32298875102886926,-0.34920407578015833,-0.34210285644605676,-0.34749965682433726,-0.4508733957260007,-0.4628264836995235,-0.5557418528793099,-0.5866814371358
TAO,2024-04-11,2024,869,-0.13943470253823376,-0.0977635751353243,-0.05936424053166789,-0.08557956528295696,-0.19859075986868446,-0.20446367583534952,-0.2401473296500921,-0.24038462802351968,-0.39050364320602127,-0.35186302274014425,-0.40019216910881583,-0.40070386657879264
REZ,2024-04-30,2024,850,-0.04559650218613365,-0.006955881720256629,0.1480324797001873,0.08337778185969147,0.08869456589631497,0.08675607766660254,-0.11992504684572136,-0.0838902110564046,-0.19362898188632105,-0.2725412304876067,-0.14553404122423474,-0.15610923546475775
BB,2024-05-13,2024,837,-0.1743589743589743,-0.15271607895411576,-0.26711259754738015,-0.25264045230911947,-0.2156075808249721,-0.21418775401099766,-0.1692307692307693,-0.15161713368797824,0.474247491638796,0.47414867041376674,0.1843924191750279,0.17028680232909488
NOT,2024-05-16,2024,834,-0.07813534631174679,-0.1051571517418678,-0.2653953118792214,-0.2557444041257524,-0.252284465633691,-0.2341263076155986,-0.28115481393192965,-0.2697560281096475,1.8718050589325914,1.8639657276772783,1.7847967156667992,1.7821619368897907
TURBO,2024-05-30,2024,820,0.2760493827160495,0.2881044976606788,0.09251028806584372,0.09241146684081447,0.05991769547325121,0.0348114521724614,0.08197530864197544,0.07735214813639835,-0.17086419753086424,-0.16754263191305918,-0.3134156378600822,-0.3225601327947004
IO,2024-06-11,2024,808,0.3643783005280845,0.3502726836821515,0.23139702352376368,0.242584846285413,0.27988478156505026,0.27324114135162003,-0.1108977436389823,-0.09964169158359637,-0.2686029764762362,-0.27047660232462534,-0.41358617378780604,-0.4068019015158113
ZK,2024-06-17,2024,802,0.03239436619718328,0.05228391384198472,-0.06901408450704216,-0.06778821685146785,-0.14553990610328638,-0.14734890117533428,-0.24319248826291073,-0.25669723110756604,-0.30845070422535215,-0.26748086775427893,-0.21784037558685443,-0.20316109547610217
MEW,2024-06-17,2024,802,-0.1478422465414001,-0.12795269889659866,-0.2060706173859178,-0.2048447497303435,-0.1835639066694198,-0.1853729017414677,-0.09828618624819319,-0.11179092909284849,-0.3076605409869916,-0.26669070451591836,-0.206896551724138,-0.19221727161338575
LISTA,2024-06-20,2024,799,-0.03716366879738353,-0.025907616741997597,-0.152371042069273,-0.13610236211908622,0.07165155344135576,0.04669535371212108,0.06005648877657199,0.030808705809683312,-0.2286308904415043,-0.22318134612130136,-0.1143154452207521,-0.12133502710761956
ZRO,2024-06-20,2024,799,-0.11589982527664533,-0.1046437732212594,-0.18375072801397796,-0.1674820480637912,-0.1942341292952825,-0.21919032902451718,0.011939429237041388,-0.017308353729847292,0.16948165404775772,0.17493119836796067,0.5416423995340709,0.5346228176472034
RENDER,2024-07-26,2024,763,-0.04615157770569145,-0.04602341507172836,-0.09289295193158353,-0.0714095647248637,-0.15364199351223828,-0.13010032967964025,-0.39088764376290175,-0.31966164646307116,-0.3305809495723975,-0.31119242718207285,-0.06885874373341194,-0.070008213838611
BANANA,2024-08-15,2024,743,0.17008264462809897,0.14671494105834704,0.21900826446280997,0.23714391611032082,0.14363636363636356,0.15063317332010973,0.06942148760330569,0.06827201749810663,-0.12935064935064933,-0.13793000007708311,-0.016340023612750887,-0.00819859229553288
RARE,2024-08-15,2024,743,0.4719211822660099,0.44855347869625795,1.4788177339901476,1.4969533856376585,1.3034482758620687,1.310445085545815,1.4571428571428573,1.4559933870376582,0.43743842364532015,0.42885907291888636,0.42068965517241375,0.42883108648963175
G,2024-08-15,2024,743,0.08384677203321722,0.06047906846346529,0.11893919099919636,0.13707484264670722,0.10822394856683615,0.11522075825058231,0.14170908116796133,0.14055961106276227,-0.09777658719528526,-0.10635593792171905,-0.031342084114653224,-0.023200652797435217
SYN,2024-08-16,2024,742,0.08424415671767282,0.0738185167114882,-0.06658819572893893,-0.08385998884419843,-0.06003026736169492,-0.09626280255409803,-0.08138557255759205,-0.05984645911036801,-0.3265512022868673,-0.2955026871483215,-0.20749957961997645,-0.19309927276919936
